arquivo,data_raw
mmulheres_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,30/12/2025
mmulheres_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,
mpi_ptd_2025_2027_docdiretivo_ministerio_dos_povos_indigenas_assinado_copia-tarjada.pdf,
mpi_ptd_anexo_de_entregas_do_plano_de_tranformacao_digital_ministerio_dos_povos_indigenas_assinado_copia-tarjada.pdf,31/03/2026
mpo_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,31/12/2024
mpo_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,
mpor_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,31/12/2025
mpor_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,
mps_ptd_2025-2026_anexo_de_entregas_final_assinado_assinado_assinado-copia_tarjada.pdf,30/04/2025
mps_ptd_2025-2026_docdiretivo_final_assinado-1_assinado_assinado-copia_tarjada.pdf,
mre_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,31/01/2025
mre_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,
mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf,31/05/2025
mte_ptd_2025_2026_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,
mte_ptd_anexo_de_entregas_assinado_v1__281_29_assinado_assinado-copia_tarjada.pdf,29/07/2024
mtur_ptd_anexo_de_entregas_assinado_30_01_2025_assinado_assinado-copia_tarjada.pdf,
mtur_ptd_docdiretiv_assinado_30_01_2025_assinado_assinado-copia_tarjada.pdf,
pf_ptd_anexo_de_entregas_2025_2027_assinado-copia_tarjada.pdf,
pf_ptd_docdiretivo_2025_2027_assinado-copia_tarjada.pdf,
previc_plano_de_transformacao_digital_2025_2026_29abr2025_assinado_29_assinado_assinado-copia_tarjada.pdf,
previc_ptd_repactuacao_2025-2026_assinado_assinado_assinado_copia_tarjada.pdf,31/01/2025
prf_anexo_de_entregas_do_ptd__2026_2027___ptd___entregas_assinado.pdf,
prf_documentodiretivo_ptd_2026-2027_assinado_tarjado.pdf,
ptd_21_24_mcom-copia_tarjada.pdf,
ptd_aneel_2025-2027_anexo_de_entregas_assinado.pdf,
ptd_aneel_2025-2027_docdiretivo_assinado_tarjado.pdf,
ptd_midr-docdiretivo_aprovado_assinado_tarjado.pdf,
ptd_midr_-_anexo_de_entregas_-_aprovado_assinado.pdf,
sgpr_ptd_2025_2027_anexo_de_entregas_assinado-copia_tarjada.pdf,
sgpr_ptd_2026_2027_docdiretivo_assinado-copia_tarjada.pdf,
susep_ptd_2025-2026_anexo_de_entregas_final_assinado-copia_tarjada.pdf,14/05/2024
susep_ptd_2025_2027_docdiretivo-assinado-copia_tarjada.pdf,
